Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,leaf1a-dc-bld1,Ethernet1,192.168.5.1/31,spine,spine1-dc-bld1,Ethernet1,192.168.5.0/31
l3leaf,leaf1a-dc-bld1,Ethernet2,192.168.5.3/31,spine,spine2-dc-bld1,Ethernet1,192.168.5.2/31
l3leaf,leaf1b-dc-bld1,Ethernet1,192.168.5.5/31,spine,spine1-dc-bld1,Ethernet2,192.168.5.4/31
l3leaf,leaf1b-dc-bld1,Ethernet2,192.168.5.7/31,spine,spine2-dc-bld1,Ethernet2,192.168.5.6/31
l3leaf,leaf2-dc-bld1,Ethernet1,192.168.5.9/31,spine,spine1-dc-bld1,Ethernet3,192.168.5.8/31
l3leaf,leaf2-dc-bld1,Ethernet2,192.168.5.11/31,spine,spine2-dc-bld1,Ethernet3,192.168.5.10/31
